!MOLECULE
CN  spectroscopy from CDMS & JPL catalogs
!MOLECULAR WEIGHT
26
!NUMBER OF ENERGY LEVELS
21
!LEVEL + ENERGIES(cm^-1) + WEIGHT + QNUM(N_J)
   1    0.0000   2.0    0_0.5
   2    3.7757   2.0    1_0.5
   3    3.7857   4.0    1_1.5
   4   11.3362   4.0    2_1.5
   5   11.3534   6.0    2_2.5
   6   22.6784   6.0    3_2.5
   7   22.7028   8.0    3_3.5
   8   37.8019   8.0    4_3.5
   9   37.8335   10.0    4_4.5
  10   56.7060   10.0    5_4.5
  11   56.7448   12.0    5_5.5
  12   79.3899   12.0    6_5.5
  13   79.4360   14.0    6_6.5
  14   105.8527   14.0    7_6.5
  15   105.9061   16.0    7_7.5
  16   136.0934   16.0    8_7.5
  17   136.1540   18.0    8_8.5
  18   170.1108   18.0    9_8.5
  19   170.1786   20.0    9_9.5
  20   207.9033   20.0   10_9.5
  21   207.9033   22.0   10_10.5
!NUMBER OF RADIATIVE TRANSITIONS
29
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
   1    2    1  2.3429e-05   113.19132500   5.43
   2    3    1  3.5455e-05   113.49098500   5.45
   3    4    3  5.5386e-05   226.35987100  16.31
   4    4    2  2.8021e-04   226.65957500  16.31
   5    5    3  3.3680e-04   226.87474500  16.33
   6    6    5  7.9653e-05   339.51665800  32.63
   7    6    4  1.1240e-03   340.03154400  32.63
   8    7    5  1.2063e-03   340.24777000  32.66
   9    8    7  1.0408e-04   452.65874830  54.39
  10    8    6  2.8289e-03   453.39005700  54.39
  11    9    7  2.9375e-03   453.60674000  54.43
  12   10    9  1.2826e-04   565.78198390  81.59
  13   10    8  5.6782e-03   566.73063000  81.59
  14   11    9  5.8132e-03   566.94697400  81.64
  15   12   11  1.5209e-04   678.88194660  114.22
  16   12   10  9.9445e-03   680.04725500  114.22
  17   13   11  1.0107e-02   680.26405100  114.29
  18   14   13  1.7553e-04   791.95410880  152.30
  19   14   12  1.5889e-02   793.33644700  152.30
  20   15   13  1.6079e-02   793.55340600  152.38
  21   16   15  1.9857e-04   904.99390320  195.81
  22   16   14  2.3765e-02   906.59338800  195.81
  23   17   15  2.3982e-02   906.81048400  195.89
  24   18   17  2.2119e-04   1017.99674330  244.75
  25   18   16  3.3812e-02   1019.81348000  244.75
  26   19   17  3.4056e-02   1020.03060300  244.85
  27   20   19  2.4338e-04   1130.95803320  299.13
  28   20   18  4.6257e-02   1132.99197850  299.13
  29   21   19  4.6528e-02   1133.20933650  299.13
!NUMBER OF COLL PARTNERS
2
!COLLISIONS BETWEEN
1 CN-H2 from Fuente et al. (1995)
!NUMBER OF COLL TRANS
210
!NUMBER OF COLL TEMPS
4
!COLL TEMPS
   10   20   40   60
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
   1      2      1   2.20e-11   3.70e-11   5.30e-11   5.80e-11
   2      3      1   4.50e-11   7.50e-11   1.10e-10   1.20e-10
   3      3      2   3.00e-12   7.50e-12   1.20e-11   1.50e-11
   4      4      1   3.00e-12   7.50e-12   1.20e-11   1.50e-11
   5      4      2   4.50e-11   7.50e-11   1.10e-10   1.20e-10
   6      4      3   4.50e-12   7.80e-12   1.20e-11   1.30e-11
   7      5      1   4.60e-12   1.10e-11   1.80e-11   2.20e-11
   8      5      2   8.60e-14   4.90e-13   1.50e-12   2.70e-12
   9      5      3   4.00e-11   6.70e-11   9.70e-11   1.10e-10
  10      5      4   6.60e-13   1.80e-12   3.70e-12   5.50e-12
  11      6      1   8.60e-14   4.90e-13   1.50e-12   2.70e-12
  12      6      2   4.60e-12   1.10e-11   1.80e-11   2.20e-11
  13      6      3   6.60e-13   1.80e-12   3.70e-12   5.50e-12
  14      6      4   4.00e-11   6.70e-11   9.70e-11   1.10e-10
  15      6      5   1.90e-12   3.30e-12   5.00e-12   5.80e-12
  16      7      1   1.10e-13   6.50e-13   2.10e-12   3.60e-12
  17      7      2   2.00e-14   3.10e-13   1.70e-12   3.60e-12
  18      7      3   3.90e-12   9.70e-12   1.60e-11   2.00e-11
  19      7      4   1.90e-14   1.30e-13   5.30e-13   1.10e-12
  20      7      5   3.80e-11   6.40e-11   9.20e-11   1.00e-10
  21      7      6   2.90e-13   7.90e-13   1.70e-12   2.70e-12
  22      8      1   2.00e-14   3.10e-13   1.70e-12   3.60e-12
  23      8      2   1.10e-13   6.50e-13   2.10e-12   3.60e-12
  24      8      3   1.90e-14   1.30e-13   5.30e-13   1.10e-12
  25      8      4   3.90e-12   9.70e-12   1.60e-11   2.00e-11
  26      8      5   2.90e-13   7.90e-13   1.70e-12   2.70e-12
  27      8      6   3.80e-11   6.40e-11   9.20e-11   1.00e-10
  28      8      7   1.10e-12   1.80e-12   2.70e-12   3.20e-12
  29      9      1   2.40e-14   3.90e-13   2.20e-12   4.50e-12
  30      9      2   3.30e-16   2.70e-14   2.80e-13   7.30e-13
  31      9      3   9.50e-14   5.50e-13   1.80e-12   3.20e-12
  32      9      4   4.60e-15   9.70e-14   7.20e-13   1.60e-12
  33      9      5   3.60e-12   9.00e-12   1.50e-11   1.90e-11
  34      9      6   8.70e-15   5.50e-14   2.40e-13   5.20e-13
  35      9      7   3.70e-11   6.30e-11   9.00e-11   9.80e-11
  36      9      8   1.70e-13   4.40e-13   9.30e-13   1.40e-12
  37     10      1   3.30e-16   2.70e-14   2.80e-13   7.30e-13
  38     10      2   2.40e-14   3.90e-13   2.20e-12   4.50e-12
  39     10      3   4.60e-15   9.70e-14   7.20e-13   1.60e-12
  40     10      4   9.50e-14   5.50e-13   1.80e-12   3.20e-12
