!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
13
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1      0.0000      1.0     0
    2      0.4057      3.0     1
    3      1.2171      5.0     2
    4      2.4343      7.0     3
    5      4.0571      9.0     4
    6      6.0857     11.0     5
    7      8.5199     13.0     6
    8     11.3598     15.0     7
    9     14.6055     17.0     8
   10     18.2568     19.0     9
   11     22.3137     21.0    10
   12     26.7763     23.0    11
   13     31.6446     25.0    12
!NUMBER OF RADIATIVE TRANSITIONS
12
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1    3.5694e-09      12.1629790     0.58
    2     3     2    3.4272e-08      24.3259270     1.75
    3     4     3    1.2391e-07      36.4888130     3.50
    4     5     4    3.0462e-07      48.6516043     5.84
    5     6     5    6.0845e-07      60.8142700     8.76
    6     7     6    1.0676e-06      72.9767794    12.26
    7     8     7    1.7139e-06      85.1391210    16.34
    8     9     8    2.5802e-06      97.3012085    21.01
    9    10     9    3.6973e-06     109.4630630    26.27
   10    11    10    5.0991e-06     121.6246380    32.10
   11    12    11    6.8163e-06     133.7859000    38.52
   12    13    12    8.8805e-06     145.9468120    45.53
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 OCS-H2 from Green & Chapman 1978
!NUMBER OF COLL TRANS
78
!NUMBER OF COLL TEMPS
6
!COLL TEMPS
   10.0   20.0   40.0   60.0   80.0  100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1 3.9e-11 3.6e-11 3.4e-11 3.4e-11 3.3e-11 3.3e-11
    2     3     1 5.5e-11 5.5e-11 5.5e-11 5.4e-11 5.4e-11 5.3e-11
    3     3     2 5.5e-11 5.6e-11 6.0e-11 6.2e-11 6.3e-11 6.2e-11
    4     4     1 6.0e-12 7.8e-12 1.1e-11 1.2e-11 1.3e-11 1.3e-11
    5     4     2 1.1e-10 1.0e-10 9.9e-11 9.7e-11 9.6e-11 9.4e-11
    6     4     3 6.9e-11 6.8e-11 7.0e-11 7.1e-11 7.1e-11 7.0e-11
    7     5     1 1.8e-11 1.7e-11 1.7e-11 1.6e-11 1.6e-11 1.6e-11
    8     5     2 1.5e-11 1.8e-11 2.2e-11 2.4e-11 2.5e-11 2.5e-11
    9     5     3 1.2e-10 1.1e-10 1.1e-10 1.1e-10 1.1e-10 1.1e-10
   10     5     4 6.2e-11 6.3e-11 6.8e-11 7.0e-11 7.0e-11 7.0e-11
   11     6     1 3.3e-12 3.5e-12 3.8e-12 4.0e-12 4.1e-12 4.2e-12
   12     6     2 3.2e-11 3.1e-11 3.1e-11 3.1e-11 3.1e-11 3.0e-11
   13     6     3 1.7e-11 2.0e-11 2.5e-11 2.7e-11 2.7e-11 2.8e-11
   14     6     4 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.1e-10 1.1e-10
   15     6     5 7.3e-11 7.2e-11 7.4e-11 7.5e-11 7.4e-11 7.3e-11
   16     7     1 3.9e-12 4.0e-12 4.5e-12 5.0e-12 5.4e-12 5.6e-12
   17     7     2 7.1e-12 7.0e-12 7.2e-12 7.4e-12 7.5e-12 7.7e-12
   18     7     3 3.8e-11 3.7e-11 3.7e-11 3.7e-11 3.7e-11 3.7e-11
   19     7     4 2.4e-11 2.5e-11 2.9e-11 3.1e-11 3.1e-11 3.1e-11
   20     7     5 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10
   21     7     6 7.3e-11 7.2e-11 7.6e-11 7.7e-11 7.7e-11 7.6e-11
   22     8     1 1.5e-12 1.3e-12 1.2e-12 1.1e-12 1.2e-12 1.2e-12
   23     8     2 9.3e-12 9.2e-12 9.7e-12 1.1e-11 1.1e-11 1.2e-11
   24     8     3 8.9e-12 9.1e-12 9.4e-12 9.5e-12 9.7e-12 9.8e-12
   25     8     4 4.3e-11 4.2e-11 4.1e-11 4.1e-11 4.1e-11 4.1e-11
   26     8     5 2.8e-11 3.0e-11 3.4e-11 3.5e-11 3.5e-11 3.5e-11
   27     8     6 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10
   28     8     7 7.6e-11 7.8e-11 8.2e-11 8.3e-11 8.2e-11 8.1e-11
   29     9     1 1.6e-12 1.7e-12 1.8e-12 2.0e-12 2.2e-12 2.4e-12
   30     9     2 4.0e-12 3.6e-12 3.2e-12 3.0e-12 3.0e-12 3.0e-12
   31     9     3 1.1e-11 1.2e-11 1.2e-11 1.3e-11 1.4e-11 1.5e-11
   32     9     4 1.2e-11 1.3e-11 1.3e-11 1.4e-11 1.4e-11 1.4e-11
   33     9     5 4.4e-11 4.5e-11 4.4e-11 4.4e-11 4.3e-11 4.3e-11
   34     9     6 3.0e-11 3.2e-11 3.6e-11 3.8e-11 3.8e-11 3.8e-11
   35     9     7 1.3e-10 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10
   36     9     8 6.7e-11 7.3e-11 8.0e-11 8.2e-11 8.1e-11 8.0e-11
   37    10     1 1.1e-12 1.0e-12 9.0e-13 8.4e-13 8.1e-13 7.9e-13
   38    10     2 4.7e-12 4.4e-12 4.2e-12 4.4e-12 4.8e-12 5.2e-12
   39    10     3 7.3e-12 7.0e-12 6.4e-12 6.1e-12 6.0e-12 5.9e-12
   40    10     4 1.4e-11 1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.6e-11
   41    10     5 1.4e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11
   42    10     6 4.8e-11 4.9e-11 4.7e-11 4.6e-11 4.6e-11 4.5e-11
   43    10     7 2.6e-11 3.0e-11 3.6e-11 3.8e-11 3.9e-11 3.9e-11
   44    10     8 1.2e-10 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10
   45    10     9 6.8e-11 7.3e-11 8.0e-11 8.2e-11 8.2e-11 8.1e-11
   46    11     1 1.0e-12 1.0e-12 9.5e-13 9.7e-13 1.0e-12 1.1e-12
   47    11     2 4.0e-12 3.8e-12 3.6e-12 3.5e-12 3.4e-12 3.3e-12
   48    11     3 5.1e-12 5.0e-12 5.0e-12 5.3e-12 5.7e-12 6.2e-12
   49    11     4 9.1e-12 9.2e-12 8.8e-12 8.6e-12 8.5e-12 8.5e-12
   50    11     5 1.4e-11 1.5e-11 1.6e-11 1.7e-11 1.7e-11 1.8e-11
   51    11     6 1.5e-11 1.6e-11 1.6e-11 1.7e-11 1.7e-11 1.7e-11
   52    11     7 4.7e-11 5.0e-11 4.9e-11 4.8e-11 4.8e-11 4.7e-11
   53    11     8 3.0e-11 3.2e-11 3.6e-11 3.8e-11 3.8e-11 3.8e-11
   54    11     9 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10
   55    11    10 6.8e-11 7.4e-11 8.1e-11 8.2e-11 8.2e-11 8.0e-11
   56    12     1 1.7e-12 1.7e-12 1.6e-12 1.5e-12 1.5e-12 1.4e-12
   57    12     2 2.2e-12 2.2e-12 2.0e-12 2.1e-12 2.1e-12 2.2e-12
   58    12     3 6.5e-12 6.7e-12 6.4e-12 6.2e-12 6.0e-12 5.9e-12
   59    12     4 6.5e-12 6.4e-12 6.3e-12 6.6e-12 7.0e-12 7.5e-12
   60    12     5 9.5e-12 9.8e-12 9.3e-12 9.1e-12 9.1e-12 9.2e-12
   61    12     6 1.6e-11 1.6e-11 1.7e-11 1.8e-11 1.9e-11 2.0e-11
   62    12     7 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11
   63    12     8 4.9e-11 5.1e-11 5.0e-11 4.9e-11 4.9e-11 4.8e-11
   64    12     9 2.7e-11 3.1e-11 3.5e-11 3.7e-11 3.8e-11 3.8e-11
   65    12    10 1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10 1.2e-10
   66    12    11 6.9e-11 7.5e-11 8.3e-11 8.5e-11 8.4e-11 8.3e-11
   67    13     1 6.1e-13 5.1e-13 4.1e-13 3.9e-13 4.0e-13 4.2e-13
   68    13     2 4.3e-12 4.5e-12 4.4e-12 4.3e-12 4.2e-12 4.1e-12
   69    13     3 3.7e-12 3.5e-12 3.2e-12 3.1e-12 3.1e-12 3.2e-12
   70    13     4 7.4e-12 7.4e-12 7.0e-12 6.9e-12 6.8e-12 6.8e-12
   71    13     5 7.6e-12 7.7e-12 7.7e-12 8.1e-12 8.6e-12 9.1e-12
   72    13     6 9.3e-12 9.2e-12 8.7e-12 8.5e-12 8.6e-12 8.7e-12
   73    13     7 1.6e-11 1.7e-11 1.8e-11 1.9e-11 2.0e-11 2.1e-11
   74    13     8 1.4e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.6e-11
   75    13     9 4.8e-11 5.1e-11 5.1e-11 5.0e-11 5.0e-11 4.9e-11
   76    13    10 3.1e-11 3.3e-11 3.6e-11 3.8e-11 3.9e-11 3.9e-11
   77    13    11 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10 1.2e-10
   78    13    12 6.6e-11 7.5e-11 8.5e-11 8.7e-11 8.6e-11 8.5e-11
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients from JPL
