 45 158
  23.794300   42.371700   79.496300  134.901800  136.761700  173.365600  212.156100
 224.838300  285.419200  300.362100  325.348300  382.517100  399.458100  446.510700
 447.252800  488.108400  508.812100  552.911900  586.244500  610.341800  648.971900
 704.215800  742.076100  744.163900  756.725600  782.411200  842.357400  885.601800
 888.599500  920.169800  931.238300 1006.117300 1045.057200 1059.837100 1079.081500
1114.551500 1122.710000 1201.923400 1216.195600 1255.168800 1282.9207   1293.6356
1327.1114   1360.2373   1394.8143
  9.0  9.0 15.0 15.0 21.0 21.0 21.0 27.0 21.0 27.0 33.0 27.0 33.0 33.0 39.0 27.0
 33.0 39.0 45.0 33.0 39.0 45.0 33.0 51.0 39.0 45.0 45.0 51.0 39.0 57.0 45.0 51.0
 39.0 45.0 57.0 63.0 51.0 57.0 45.0 51.0 57.0 63.0 69.0 57.0 45.0
  2  3  4  4  5  6  6  7  7  8  8  9  9  9 10 10 10 12 12 16 16 12 16 16
 12 16 11 13 14 14 17 17 20 20 23 23 13 14 17 17 20 20 23 23 23 20 23 15
 15 18 18 21 21 21 25 25 25 29 29 29 33 33 33 18 21 25 25 29 29 33 33 33
 21 25 29 29 33 33 19 22 26 26 27 27 31 31 31 34 34 34 39 39 39 22 26 27
 27 31 31 34 34 34 39 39 39 26 31 34 39 39 24 28 28 32 32 32 37 37 37 40
 40 40 40 28 32 37 37 40 40 32 37 40 40 30 35 38 38 35 38 38 36 41 44 42
 45 45 45 44 41 42 43 45 45 41 44 44 44 42
  1  1  2  3  3  4  5  3  6  5  7  4  5  7  6  8  9  5  7  6  9 10  8 12
 11 13  8 10  8 12 10 16  8 12 10 16 11 13 11 14 13 17 11 14 20 15 18 11
 14 13 17 11 14 20 13 17 23 11 14 20 13 17 23 15 18 15 21 18 25 15 21 29
 19 22 19 16 22 27 15 18 15 21 18 25 15 21 29 18 25 33 15 21 29 19 22 19
 26 22 27 19 26 31 22 27 34 24 24 28 24 32 19 22 27 19 26 31 22 27 34 19
 26 31 39 24 28 24 32 28 37 30 35 30 38 24 28 24 32 30 35 36 30 30 41 41
 25 26 37 24 38 36 36 33 31 28 32 35 36 35
 3.458E-03 5.593E-02 2.564E-01 3.058E-02 5.048E-02 2.634E-03 1.648E-02 3.318E-01
 2.288E-02 2.463E-01 2.992E-05 1.243E+00 8.505E-03 6.619E-02 4.838E-01 8.084E-02
 5.263E-05 9.112E-02 1.374E+00 1.668E-02 3.386E+00 1.229E-01 2.688E-03 1.528E-01
 2.499E-04 1.654E-04 3.902E-01 1.566E-01 4.061E-01 1.118E-02 1.634E+00 1.039E-04
 2.676E-02 3.769E+00 1.360E-02 7.063E+00 7.579E-02 4.314E-02 3.821E-02 8.174E-02
 2.918E-02 2.120E-01 3.068E-04 4.580E-03 2.469E-01 2.736E-04 1.468E-04 7.491E-01
 1.859E-09 9.390E-01 2.217E-03 3.488E-01 1.687E+00 1.333E-03 2.682E-01 3.986E+00
 2.575E-05 3.150E-03 6.367E-02 7.628E+00 4.671E-04 1.626E-02 1.246E+01 1.740E-01
 2.181E-01 1.459E-02 2.991E-01 1.394E-02 3.969E-01 3.077E-05 3.948E-03 3.533E-01
 3.660E-04 2.890E-04 6.950E-05 3.408E-04 2.318E-05 1.184E-04 1.157E+00 9.508E-01
 4.843E-01 2.579E-01 1.709E+00 2.475E-02 6.835E-02 4.478E+00 1.414E-03 1.112E-01
 8.274E+00 1.971E-05 3.352E-04 5.934E-02 1.331E+01 2.160E-01 1.360E-01 3.861E-02
 9.234E-02 1.173E-01 2.153E-01 2.516E-03 5.737E-02 4.648E-01 1.634E-03 1.546E-02
 5.828E-01 9.343E-05 5.015E-04 7.476E-04 9.847E-06 4.440E-04 1.751E+00 1.897E+00
 9.542E-04 5.893E-01 2.315E+00 1.389E-02 1.050E+00 4.212E+00 6.748E-03 1.233E-02
 4.885E-01 8.630E+00 8.338E-04 3.278E-01 3.834E-01 2.469E-02 4.296E-01 5.024E-02
 5.758E-01 6.314E-04 2.422E-04 1.919E-04 2.999E-04 2.480E+00 2.470E+00 6.583E-01
 1.513E+00 4.183E-01 3.838E-01 5.496E-04 3.402E+00 2.883E-02 1.896E-01 5.048E-06
 1.809E-02 1.120E-04 1.156E-04 5.863E-02 1.881E-01 5.428E-01 4.514E+00 1.970E+01
 3.641E-03 1.708E+00 4.479E+00 1.455E-01 4.429E-04 3.581E+00
990 10 20.00 40.00 80.00 120.00 200.00 400.00 800.00 1200.0 1600.0 2000.0
  2  3  3  4  4  4  5  5  5  5  6  6  6  6  6  7  7  7  7  7  7  8  8  8  8
  8  8  8  9  9  9  9  9  9  9  9 10 10 10 10 10 10 10 10 10 11 11 11 11 11
 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13
 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18
 18 18 18 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20
 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21
 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22
 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
 23 23 23 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27
 27 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28
 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30
 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31
 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32
 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33
 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33
 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34
 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 35 35 35 35 35 35 35
 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36
 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36
 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37
 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 38 38 38 38 38 38 38 38 38
 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38
 38 38 38 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39
 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40
 40 40 40 40 40 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41
 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 42 42 42 42 42
 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42
 42 42 42 42 42 42 42 42 42 42 42 43 43 43 43 43 43 43 43 43 43 43 43 43 43
 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43
 43 43 43 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44
 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 45 45 45 45
 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45
 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45
  1  1  2  1  2  3  1  2  3  4  1  2  3  4  5  1  2  3  4  5  6  1  2  3  4
  5  6  7  1  2  3  4  5  6  7  8  1  2  3  4  5  6  7  8  9  1  2  3  4  5
  6  7  8  9 10  1  2  3  4  5  6  7  8  9 10 11  1  2  3  4  5  6  7  8  9
 10 11 12  1  2  3  4  5  6  7  8  9 10 11 12 13  1  2  3  4  5  6  7  8  9
